time,trade_id,ticker,time_to_strike,count,shift,kalshi_fair,forecast,yes_price,no_price,taker_side,kalshi_strike_delta,forecast_strike_delta,forecast_bucket_delta,kalshi_forecast_delta,strike_m_3.5,strike_m_3.0,strike_m_1.0,strike_p_1.0,strike_p_3.0,strike_p_3.5,entropy,impact,result,outcome
2024-10-13 11:49:56.382422,eb622a28-4d91-45a7-ba06-bc872c81b871,HIGHNY-24OCT13-T72,43743.618,250,3.5,71.886,69.5,80,20,1,-0.114,-2.5,70.5,-2.386,0.0,0.0,0.0,0.056,23.4,80.0,-424.17,-31.381,-80,0
2024-10-13 11:50:26.932700,7bc4adae-ab9e-473b-970a-6adcc2ce3be9,HIGHNY-24OCT13-B71.5,43713.067,1,3.0,71.884,69.5,23,77,1,0.384,-2.0,71.5,-2.384,0.0,0.0,0.0,0.027,23.0,76.5,-403.82,-18.03,-23,0
2024-10-13 12:00:43.217685,a02dfefa-a77c-4e12-86a6-9e19a5a0d097,HIGHNY-24OCT13-T72,43096.782,12,3.5,71.893,69.5,77,23,0,-0.107,-2.5,70.5,-2.393,0.0,0.0,0.0,0.024,20.7,77.0,-397.105,28.158,77,0
2024-10-13 12:08:55.838319,b9106f86-ca61-47f5-b081-70d1f276903e,HIGHNY-24OCT13-B71.5,42604.162,3,3.0,71.887,69.5,20,80,1,0.387,-2.0,71.5,-2.387,0.0,0.0,0.0,0.022,20.0,69.3,-353.554,-14.596,-20,0
2024-10-13 12:08:55.838319,97b3cb95-54ca-41ef-8173-9272cb933711,HIGHNY-24OCT13-B71.5,42604.162,11,3.0,71.865,69.5,23,77,1,0.365,-2.0,71.5,-2.365,0.0,0.0,0.0,0.019,23.0,62.37,-329.818,-17.619,-23,0
2024-10-13 12:08:55.838319,23b414b9-ba19-465f-8944-c036c470455b,HIGHNY-24OCT13-B71.5,42604.162,30,3.0,71.863,69.5,21,79,1,0.363,-2.0,71.5,-2.363,0.0,0.0,0.0,0.017,21.0,56.133,-289.951,-15.876,-21,0
2024-10-13 12:09:25.702941,656a1937-931f-447b-9bc3-8b5c5a3a2a92,HIGHNY-24OCT13-T72,42574.297,1,3.5,71.901,69.5,77,23,0,-0.099,-2.5,70.5,-2.401,0.0,0.0,0.0,0.016,18.9,77.0,-389.956,28.152,77,0
2024-10-13 12:14:48.042884,eeec4332-dfff-429a-a0f0-0d566f1881db,HIGHNY-24OCT13-T72,42251.957,1,3.5,71.917,69.5,86,14,1,-0.083,-2.5,70.5,-2.417,0.0,0.0,0.0,0.014,17.01,86.0,-431.215,-36.812,-86,0
2024-10-13 12:14:48.042884,acf87fa4-ee89-4cef-bf22-f5be0a127f63,HIGHNY-24OCT13-T72,42251.957,1,3.5,71.925,69.5,87,13,1,-0.075,-2.5,70.5,-2.425,0.0,0.0,0.0,0.013,15.309,87.0,-430.247,-38.121,-87,0
2024-10-13 12:16:35.648220,4f1e49a1-1d97-4738-8561-5cc732d18e3e,HIGHNY-24OCT13-T72,42144.352,60,3.5,71.931,69.5,87,13,1,-0.069,-2.5,70.5,-2.431,0.0,0.0,0.0,0.011,13.778,87.0,-424.623,-37.805,-87,0
